state,% heating assistance,% cooling assistance,% crisis assistance,% weatherization,% administrative and other costs
WY,60,0,10,15,15
WV,50,0,24,15,11
WI,60,0,9,15,16
WA,40.17,0,31,15,13.83
VT,70.62,0,16.3,0,13.08
VA,40,15,10,15,20
UT,60,0,6,15,19
TX,10,40,25,15,10
TN,51,17,10,10,12
SD,78,0,10,0,12
SC,30,20,25,15,10
RI,55,0,10,15,20
PA,55,0,20,15,10
OR,51.92,0,10,15,23.08
OK,40,28,10,2,20
OH,42.5,0,25,15,17.5
NY,65,1,16,10,8
NV,55,1,15,5,24
NM,41,15,10,14,20
NJ,65,4,6,15,10
NH,75,0,8,3,14
NE,57,15,6,10,12
ND,60,0.1,4.9,15,20
NC,37.21,0,43.52,11.83,7.44
MT,66.92,0,3,15,15.08
MS,37,27,5,15,16
MO,42,0,28,10,20
MN,58.5,0,19,4.5,18
MI,25,0,60,5,10
ME,67,0,5,15,13
MD,73.74,0,5,2.18,19.08
MA,73.95,0,3,10,13.05
LA,30,37.2,10,12,10.8
KY,35,0,41.3,13.5,10.2
KS,65,0,10,15,10
IN,45,10,10,15,20
IL,45,0,15,15,25
ID,61.92,0,1.06,15,22.02
IA,60,0,5,15,20
HI,0,65,15,0,20
GA,58.3,0,29.1,2.59,10.01
FL,10.5,16,38,15,20.5
DE,55,12.5,10,10,12.5
DC,45,15,10,15,15
CT,47.72,0,39.21,1.84,11.23
CO,65,0,5,15,15
CA,14.2,14.2,31.6,15,25
AZ,21.8,42.2,5,15,16
AR,53,0,17,15,15
AL,35,32,16,2,15
AK,67,0,10,3,20
